!CSV A.01.01
!Keysight Technologies,N5222B,MY57181103,A.13.55.04
!Date: Friday, July 24, 2026 15:22:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S31(DB),S31(DEG),S11(DB),S11(DEG),S33(DB),S33(DEG)
11059792124.27,-28.249008,-121.90781,-14.362967,154.83638,-12.072642,-97.745934
11059792131.784,-28.17712,-122.72883,-14.358132,154.71181,-12.071938,-97.783951
11059792139.298,-28.104286,-122.24384,-14.344117,154.68208,-12.08015,-97.683647
11059792146.812,-28.258518,-122.35172,-14.342476,154.71616,-12.076795,-97.631607
11059792154.325,-28.213911,-122.10525,-14.363497,154.89174,-12.065831,-97.923775
11059792161.839,-28.168646,-122.11769,-14.343107,154.88611,-12.105915,-97.776169
11059792169.353,-28.259453,-122.05206,-14.344838,154.88031,-12.083081,-97.879959
11059792176.867,-28.263868,-122.06908,-14.335375,154.80856,-12.083737,-97.785431
11059792184.381,-28.271311,-121.85103,-14.358994,155.10152,-12.096684,-97.78949
11059792191.894,-28.244568,-121.97169,-14.351123,154.99992,-12.081161,-97.894569
11059792199.408,-28.234285,-122.16879,-14.358485,154.91862,-12.099975,-97.752945
11059792206.922,-28.14357,-121.925,-14.37737,154.86711,-12.067345,-97.778801
11059792214.436,-28.166567,-122.49538,-14.33709,154.80217,-12.085797,-97.735306
11059792221.95,-28.15069,-122.59803,-14.357261,154.81381,-12.079494,-97.717438
11059792229.463,-28.174208,-122.3094,-14.346901,154.64679,-12.088983,-97.725044
11059792236.977,-28.077629,-122.26556,-14.357674,154.78598,-12.084996,-97.731232
11059792244.491,-28.148659,-122.1855,-14.367708,154.71158,-12.08968,-97.814201
11059792252.005,-28.1812,-122.74911,-14.373804,154.58521,-12.082543,-97.689255
11059792259.519,-28.146563,-122.35399,-14.358613,154.68472,-12.106842,-97.760597
11059792267.032,-28.2276,-122.05921,-14.359029,154.84357,-12.096026,-97.809273
11059792274.546,-28.186575,-122.49291,-14.343772,154.74115,-12.086508,-97.902153
11059792282.06,-28.198326,-121.91867,-14.346014,154.82503,-12.094091,-97.820816
11059792289.574,-28.22233,-121.72926,-14.361589,154.84309,-12.105818,-97.943771
11059792297.088,-28.17481,-121.90009,-14.36341,154.77541,-12.083283,-97.938057
11059792304.602,-28.136597,-121.77267,-14.367821,154.7438,-12.095218,-97.882378
11059792312.115,-28.083683,-122.03979,-14.346367,154.7764,-12.073072,-97.955414
11059792319.629,-28.137049,-122.74737,-14.346087,154.58611,-12.096759,-97.821884
11059792327.143,-28.067814,-122.2182,-14.377175,154.9268,-12.088284,-97.755127
11059792334.657,-28.105299,-122.45555,-14.378786,154.62602,-12.08418,-97.758476
11059792342.171,-28.055767,-122.2226,-14.361162,154.69032,-12.103504,-97.813873
11059792349.684,-28.11721,-122.32674,-14.36774,154.6261,-12.084492,-97.86692
11059792357.198,-28.013809,-122.13774,-14.356058,154.79831,-12.111666,-97.879021
11059792364.712,-28.197231,-121.80477,-14.354321,154.68239,-12.089716,-97.954239
11059792372.226,-28.110813,-122.23197,-14.355651,154.78841,-12.090517,-97.905785
11059792379.74,-28.218895,-122.0518,-14.386045,154.73087,-12.096186,-97.861168
11059792387.253,-28.141878,-121.90068,-14.365428,154.71544,-12.097725,-97.896683
11059792394.767,-28.022694,-122.11318,-14.38348,154.80627,-12.105133,-97.83606
11059792402.281,-28.071791,-122.29136,-14.352611,154.60359,-12.092081,-97.768044
11059792409.795,-28.118128,-122.1931,-14.374368,154.51834,-12.099233,-97.783775
